category,brand,model,product,price,source_key
MotherBoard,ASUS,B860,ASUS ROG STRIX B860-I GAMING WIFI,6490,motherboard_asus_rog_strix_b860_i_gaming_wifi
MotherBoard,ASUS,B860,ASUS B860M-E-CSM,3490,motherboard_asus_b860m_e_csm
MotherBoard,ASUS,B860,ASUS B860M AYW GAMING WIFI,3990,motherboard_asus_b860m_ayw_gaming_wifi
MotherBoard,ASUS,B860,ASUS PRIME B860M-K-CSM,3990,motherboard_asus_prime_b860m_k_csm
MotherBoard,ASUS,B860,ASUS PRIME B860M-A-CSM,4690,motherboard_asus_prime_b860m_a_csm
MotherBoard,ASUS,B860,ASUS PRIME B860M-A WIFI-CSM,5190,motherboard_asus_prime_b860m_a_wifi_csm
MotherBoard,ASUS,B860,ASUS B860M MAX GAMING AX,5090,motherboard_asus_b860m_max_gaming_ax
MotherBoard,ASUS,B860,ASUS TUF GAMING B860M-PLUS WIFI,6490,motherboard_asus_tuf_gaming_b860m_plus_wifi
MotherBoard,ASUS,B860,ASUS TUF GAMING B860-PLUS WIFI,6790,motherboard_asus_tuf_gaming_b860_plus_wifi
MotherBoard,ASUS,B860,ASUS ROG STRIX B860-G GAMING WIFI,7490,motherboard_asus_rog_strix_b860_g_gaming_wifi
MotherBoard,ASUS,B860,ASUS ROG STRIX B860-A GAMING WIFI,7190,motherboard_asus_rog_strix_b860_a_gaming_wifi
MotherBoard,ASUS,B860,ASUS ROG STRIX B860-A GAMING WIFI S,7690,motherboard_asus_rog_strix_b860_a_gaming_wifi_s
MotherBoard,ASUS,B860,ASUS ROG STRIX B860-F GAMING WIFI,8490,motherboard_asus_rog_strix_b860_f_gaming_wifi
MotherBoard,GIGABYTE,B860,GIGABYTE B860M H,3490,motherboard_gigabyte_b860m_h
MotherBoard,GIGABYTE,B860,GIGABYTE B860M D2H,3990,motherboard_gigabyte_b860m_d2h
MotherBoard,GIGABYTE,B860,GIGABYTE B860M GAMING WIFI6,4690,motherboard_gigabyte_b860m_gaming_wifi6
MotherBoard,GIGABYTE,B860,GIGABYTE B860M DS3H WIFI6E,5290,motherboard_gigabyte_b860m_ds3h_wifi6e
MotherBoard,GIGABYTE,B860,GIGABYTE B860M GAMING X WIFI6E,5590,motherboard_gigabyte_b860m_gaming_x_wifi6e
MotherBoard,GIGABYTE,B860,GIGABYTE B860M AORUS ELITE WIFI6E,6490,motherboard_gigabyte_b860m_aorus_elite_wifi6e
MotherBoard,GIGABYTE,B860,GIGABYTE B860M AORUS ELITE WIFI6E+RTX5070 EAGLE OC,30490,motherboard_gigabyte_b860m_aorus_elite_wifi6e_rtx5070_eagle_oc
MotherBoard,GIGABYTE,B860,GIGABYTE B860M AORUS ELITE WIFI6E ICE,6490,motherboard_gigabyte_b860m_aorus_elite_wifi6e_ice
MotherBoard,GIGABYTE,B860,GIGABYTE B860M AORUS ELITE WIFI6E ICE+RTX5070 EAGLE OC,30990,motherboard_gigabyte_b860m_aorus_elite_wifi6e_ice_rtx5070_eagle_oc
MotherBoard,GIGABYTE,B860,GIGABYTE B860 EAGLE WIFI6E,5990,motherboard_gigabyte_b860_eagle_wifi6e
MotherBoard,GIGABYTE,B860,GIGABYTE B860 GAMING X WIFI6E,6490,motherboard_gigabyte_b860_gaming_x_wifi6e
MotherBoard,GIGABYTE,B860,GIGABYTE B860 AORUS ELITE WIFI7 ICE,7490,motherboard_gigabyte_b860_aorus_elite_wifi7_ice
MotherBoard,MSI,B860,MSI MPG B860I EDGE TI WIFI,5990,motherboard_msi_mpg_b860i_edge_ti_wifi
MotherBoard,MSI,B860,MSI PRO B860M-E,3490,motherboard_msi_pro_b860m_e
MotherBoard,MSI,B860,MSI PRO B860M-X,3790,motherboard_msi_pro_b860m_x
MotherBoard,MSI,B860,MSI PRO B860M-B WIFI,4290,motherboard_msi_pro_b860m_b_wifi
MotherBoard,MSI,B860,MSI B860M GAMING WIFI,4590,motherboard_msi_b860m_gaming_wifi
MotherBoard,MSI,B860,MSI B860M GAMING PLUS WIFI,5690,motherboard_msi_b860m_gaming_plus_wifi
MotherBoard,MSI,B860,MSI MAG B860M MORTAR WIFI,6490,motherboard_msi_mag_b860m_mortar_wifi
MotherBoard,MSI,B860,MSI PRO B860-P,4890,motherboard_msi_pro_b860_p
MotherBoard,MSI,B860,MSI PRO B860-P WIFI,5390,motherboard_msi_pro_b860_p_wifi
MotherBoard,MSI,B860,MSI B860 GAMING PLUS WIFI,6390,motherboard_msi_b860_gaming_plus_wifi
MotherBoard,MSI,B860,MSI MAG B860 TOMAHAWK WIFI,6890,motherboard_msi_mag_b860_tomahawk_wifi
MotherBoard,ASRock,B860,ASRock B860I WiFi,4990,motherboard_asrock_b860i_wifi
MotherBoard,ASRock,B860,ASRock B860M-H2,2990,motherboard_asrock_b860m_h2
MotherBoard,ASRock,B860,ASRock B860M Rock WiFi,4190,motherboard_asrock_b860m_rock_wifi
MotherBoard,ASRock,B860,ASRock B860M LiveMixer WiFi,4690,motherboard_asrock_b860m_livemixer_wifi
MotherBoard,ASRock,B860,ASRock B860M-X WiFi,4990,motherboard_asrock_b860m_x_wifi
MotherBoard,ASRock,B860,ASRock B860M Pro-A WiFi,4190,motherboard_asrock_b860m_pro_a_wifi
MotherBoard,ASRock,B860,ASRock B860M Pro RS WiFi,5990,motherboard_asrock_b860m_pro_rs_wifi
MotherBoard,ASRock,B860,ASRock B860M Steel Legend WiFi,5490,motherboard_asrock_b860m_steel_legend_wifi
MotherBoard,ASRock,B860,ASRock B860 Rock WiFi 7,4390,motherboard_asrock_b860_rock_wifi_7
MotherBoard,ASRock,B860,ASRock B860 Steel Legend WiFi,8290,motherboard_asrock_b860_steel_legend_wifi
MotherBoard,ASUS,Z890,ASUS Z890 MAX GAMING WIFI7,7490,motherboard_asus_z890_max_gaming_wifi7
MotherBoard,ASUS,Z890,ASUS PRIME Z890-P WIFI-CSM,8490,motherboard_asus_prime_z890_p_wifi_csm
MotherBoard,ASUS,Z890,ASUS Z890 AYW GAMING WIFI W,8990,motherboard_asus_z890_ayw_gaming_wifi_w
MotherBoard,ASUS,Z890,ASUS TUF GAMING Z890-PRO WIFI,10990,motherboard_asus_tuf_gaming_z890_pro_wifi
MotherBoard,ASUS,Z890,ASUS ROG STRIX Z890-A GAMING WIFI,12990,motherboard_asus_rog_strix_z890_a_gaming_wifi
MotherBoard,ASUS,Z890,ASUS ROG STRIX Z890-F GAMING WIFI,14990,motherboard_asus_rog_strix_z890_f_gaming_wifi
MotherBoard,ASUS,Z890,ASUS ROG STRIX Z890-E GAMING WIFI,16490,motherboard_asus_rog_strix_z890_e_gaming_wifi
MotherBoard,ASUS,Z890,ASUS ProArt Z890-CREATOR WIFI,14990,motherboard_asus_proart_z890_creator_wifi
MotherBoard,ASUS,Z890,ASUS ROG MAXIMUS Z890 APEX,18990,motherboard_asus_rog_maximus_z890_apex
MotherBoard,ASUS,Z890,ASUS ROG MAXIMUS Z890 HERO,20990,motherboard_asus_rog_maximus_z890_hero
MotherBoard,ASUS,Z890,ASUS ROG MAXIMUS Z890 HERO BTF,20990,motherboard_asus_rog_maximus_z890_hero_btf
MotherBoard,ASUS,Z890,ASUS ROG MAXIMUS Z890 EXTREME,34990,motherboard_asus_rog_maximus_z890_extreme
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890I AORUS ULTRA,11990,motherboard_gigabyte_z890i_aorus_ultra
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890M GAMING X,6990,motherboard_gigabyte_z890m_gaming_x
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 UD WIFI6E,6990,motherboard_gigabyte_z890_ud_wifi6e
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 EAGLE WIFI7,7990,motherboard_gigabyte_z890_eagle_wifi7
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 EAGLE WIFI7 PLUS,8290,motherboard_gigabyte_z890_eagle_wifi7_plus
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 GAMING X WIFI7,9290,motherboard_gigabyte_z890_gaming_x_wifi7
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AORUS ELITE WIFI7,9990,motherboard_gigabyte_z890_aorus_elite_wifi7
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AORUS ELITE WIFI7 ICE,9490,motherboard_gigabyte_z890_aorus_elite_wifi7_ice
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AORUS ELITE DUO X,11490,motherboard_gigabyte_z890_aorus_elite_duo_x
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AERO G,12990,motherboard_gigabyte_z890_aero_g
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AORUS PRO ICE,12990,motherboard_gigabyte_z890_aorus_pro_ice
MotherBoard,GIGABYTE,Z890,GIGABYTE Z890 AORUS MASTER,17990,motherboard_gigabyte_z890_aorus_master
MotherBoard,MSI,Z890,MSI MPG Z890I EDGE TI WIFI,10990,motherboard_msi_mpg_z890i_edge_ti_wifi
MotherBoard,MSI,Z890,MSI PRO Z890-S WIFI,6990,motherboard_msi_pro_z890_s_wifi
MotherBoard,MSI,Z890,MSI PRO Z890-S WIFI WHITE,6990,motherboard_msi_pro_z890_s_wifi_white
MotherBoard,MSI,Z890,MSI PRO Z890-S WIFI PZ,7590,motherboard_msi_pro_z890_s_wifi_pz
